,,,,,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,Mitch Wishnowsky,SFO,28,p,16,0,,,,,,,,,,,,,,,,,,67,4229,42,62.7%,63.1,66,3093,60,1,46.9
54,Riley Dixon,NYG,27,p,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0,65,2911,71,1,44.8
55,Sam Martin,DEN,30,p,16,0,,,,,,,,,,,,,,,,,,2,114,,,57.0,65,3040,69,1,46.8
56,Pat O'Donnell,CHI,29,p,16,0,,,,,,,,,,,,,,,,,,,,,,,64,2924,64,0,45.7
57,Thomas Morstead,NOR,34,p,16,0,,,,,,,,,,,,,,,,,,1,33,,,33.0,62,2674,58,0,43.1
58,Michael Dickson,SEA,24,k,16,0,,,,,,,,,,,,,,,,,,2,26,,,13.0,61,3028,67,0,49.6
59,Jack Fox*,DET,24,p,16,0,,,,,,,,,,,,,,,,,,60,3670,19,31.7%,61.2,59,2897,67,0,49.1
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Andy Lee,ARI,38,p,16,0,,,,,,,,,,,,,,,,,,2,121,,,60.5,58,2600,61,0,44.8
62,Jordan Berry,PIT,29,p,11,0,,,,,,,,,,,,,,,,,,,,,,,57,2609,62,0,45.8
63,Ty Long,LAC,27,p,16,0,,,,,,,,,,,,,,,,,,81,5187,49,60.5%,64.0,57,2669,63,3,46.8
64,Logan Cooke,JAX,25,p,14,0,,,,,,,,,,,,,,,,,,46,2782,25,54.3%,60.5,56,2669,67,0,47.7
65,Sterling Hofrichter,ATL,24,p,16,0,,,,,,,,,,,,,,,,,,22,1383,16,72.7%,62.9,56,2381,57,0,42.5
66,Jake Bailey*+,NWE,23,p,16,0,,,,,,,,,,,,,,,,,,72,4584,42,58.3%,63.7,55,2678,71,0,48.7
67,Bradley Pinion,TAM,26,p,16,0,,,,,,,,,,,,,,,,,,100,6477,85,85.0%,64.8,55,2486,62,0,45.2
68,Bryan Anger,HOU,32,p,16,0,,,,,,,,,,,,,,,,,,2,126,,,63.0,54,2505,67,0,46.4
69,Britton Colquitt,MIN,35,p,16,0,,,,,,,,,,,,,,,,,,2,105,,,52.5,54,2435,59,2,45.1
70,Tommy Townsend,KAN,24,p,16,0,,,,,,,,,,,,,,,,,,2,103,,,51.5,52,2339,67,0,45.0
71,Sam Koch,BAL,38,p,15,0,,,,,,,,,,,,,,,,,,,,,,,51,2268,59,0,44.5
72,JK Scott,GNB,25,k,16,0,,,,,,,,,,,,,,,,,,16,965,4,25.0%,60.3,46,2092,62,1,45.5
73,Joseph Charlton,CAR,23,p,16,0,,,,,,,,,,,,,,,,,,,,,,,45,2082,67,0,46.3
74,AJ Cole III,LVR,25,p,16,0,,,,,,,,,,,,,,,,,,,,,,,44,1939,63,0,44.1
75,Rigoberto Sanchez,IND,26,k,14,0,,,,,,,,,,,,,,,,,,77,4803,33,42.9%,62.4,42,1940,60,1,46.2
76,Corey Bojorquez,BUF,24,p,16,0,,,,,,,,,,,,,,,,,,,,,,,41,2082,72,0,50.8
77,Brett Kern,TEN,34,p,13,0,,,,,,,,,,,,,,,,,,1,48,,,48.0,37,1695,66,0,45.8
78,Dustin Colquitt,2TM,38,,6,0,,,,,,,,,,,,,,,,,,,,,,,26,1133,59,0,43.6
79,Hunter Niswander,DAL,26,p,8,0,,,,,,,,,,,,,,,,,,,,,,,26,1228,58,0,47.2
80,Chris Jones,DAL,31,p,8,0,,,,,,,,,,,,,,,,,,2,116,,,58.0,24,1022,54,0,42.6
81,Ryan Allen,2TM,30,,3,0,,,,,,,,,,,,,,,,,,,,,,,14,680,65,0,48.6
82,Trevor Daniel,TEN,26,p,2,0,,,,,,,,,,,,,,,,,,,,,,,4,157,52,1,39.3
83,Johnny Townsend,BAL,25,p,1,0,,,,,,,,,,,,,,,,,,,,,,,2,100,55,0,50.0
84,Brandon Wright,JAX,23,,1,0,,,,,,,,,,,,,,,2,1,50.0%,,,,,,,,,,
